"datetime","cica","tair","vpd","Fwsoil","year","month","doy","hour"
2012-01-01 06:00:00,0.8600954413414,292.190002441406,9374.03560414129,0.7881019115448,2012,1,1,6
2012-01-01 06:30:00,0.855909466743469,292.378326416016,9400.53248705569,0.788215279579163,2012,1,1,6
2012-01-01 07:00:00,0.826407790184021,293.86865234375,9612.21064533821,0.788185000419617,2012,1,1,7
2012-01-01 07:30:00,0.794612884521484,295.615234375,9864.81464184563,0.787926197052002,2012,1,1,7
2012-01-01 08:00:00,0.770592093467712,296.993469238281,10067.6308837254,0.787363290786743,2012,1,1,8
2012-01-01 08:30:00,0.749479830265045,297.896423339844,10202.1891881294,0.786498188972473,2012,1,1,8
2012-01-01 09:00:00,0.730002760887146,298.391479492188,10276.5314818187,0.785342514514923,2012,1,1,9
2012-01-01 09:30:00,0.709713459014893,299.005279541016,10369.2672412761,0.783945143222809,2012,1,1,9
2012-01-01 10:00:00,0.688459157943726,299.663513183594,10469.410307538,0.782390475273132,2012,1,1,10
2012-01-01 10:30:00,0.674743890762329,300.419891357422,10585.3754101841,0.780771613121033,2012,1,1,10
2012-01-01 11:00:00,0.661688685417175,300.926879882812,10663.6403385286,0.779140412807465,2012,1,1,11
2012-01-01 11:30:00,0.645091354846954,301.594055175781,10767.2914977401,0.777556419372559,2012,1,1,11
2012-01-01 12:00:00,0.634252548217773,302.33837890625,10883.813989956,0.776092886924744,2012,1,1,12
2012-01-01 12:30:00,0.631450951099396,303.058685302734,10997.4706927431,0.774690687656403,2012,1,1,12
2012-01-01 13:00:00,0.649150550365448,303.208801269531,11021.2687818744,0.773225069046021,2012,1,1,13
2012-01-01 13:30:00,0.625889897346497,303.882843017578,11128.5974641462,0.771514773368835,2012,1,1,13
2012-01-01 14:00:00,0.661059021949768,304.148498535156,11171.1118681397,0.770062804222107,2012,1,1,14
2012-01-01 14:30:00,0.667659759521484,304.122131347656,11166.8874439209,0.768309473991394,2012,1,1,14
2012-01-01 15:00:00,0.649993121623993,304.740905761719,11266.3538143064,0.766600668430328,2012,1,1,15
2012-01-01 15:30:00,0.641435623168945,304.949401855469,11300.0175457987,0.764843225479126,2012,1,1,15
2012-01-01 16:00:00,0.661659479141235,304.525207519531,11231.6067835674,0.763110876083374,2012,1,1,16
2012-01-01 16:30:00,0.671077907085419,304.652221679688,11252.0581804434,0.761989772319794,2012,1,1,16
2012-01-01 17:00:00,0.671623229980469,304.657928466797,11252.9781593781,0.760831773281097,2012,1,1,17
2012-01-01 17:30:00,0.669732689857483,305.373992919922,11368.8038772912,0.759885907173157,2012,1,1,17
2012-01-01 18:00:00,0.66667914390564,305.342987060547,11363.7709282159,0.758412539958954,2012,1,1,18
2012-01-01 18:30:00,0.667463481426239,304.706085205078,11260.7402656326,0.757306456565857,2012,1,1,18
2012-01-02 06:00:00,0.850896060466766,292.159210205078,9369.70936941088,0.759729444980621,2012,1,2,6
2012-01-02 06:30:00,0.851367473602295,291.874176025391,9329.72505341414,0.759837090969086,2012,1,2,6
2012-01-02 07:00:00,0.823326408863068,293.266510009766,9526.26029699026,0.759809553623199,2012,1,2,7
2012-01-02 07:30:00,0.791636109352112,295.41552734375,9835.68269753451,0.759568452835083,2012,1,2,7
2012-01-02 08:00:00,0.762294888496399,296.496856689453,9994.19596244281,0.759040057659149,2012,1,2,8
2012-01-02 08:30:00,0.740438163280487,297.145111083984,10090.1373631661,0.758179306983948,2012,1,2,8
2012-01-02 09:00:00,0.721149742603302,298.04638671875,10224.6686765141,0.757020354270935,2012,1,2,9
2012-01-02 09:30:00,0.701513171195984,298.885162353516,10351.0724827977,0.755637943744659,2012,1,2,9
2012-01-02 10:00:00,0.685077488422394,299.444885253906,10436.0703204582,0.754087388515472,2012,1,2,10
2012-01-02 10:30:00,0.669090032577515,299.998504638672,10520.6541770776,0.752473473548889,2012,1,2,10
2012-01-02 11:00:00,0.65328848361969,300.871734619141,10655.1088806207,0.750833332538605,2012,1,2,11
2012-01-02 11:30:00,0.640976548194885,301.353912353516,10729.8994606989,0.749210238456726,2012,1,2,11
2012-01-02 12:00:00,0.620949685573578,302.804382324219,10957.2463032322,0.747642338275909,2012,1,2,12
2012-01-02 12:30:00,0.609825193881989,303.296661376953,11035.2169949842,0.746187329292297,2012,1,2,12
2012-01-02 13:00:00,0.596774578094482,304.272735595703,11191.0364557531,0.744824588298798,2012,1,2,13
2012-01-02 13:30:00,0.594978928565979,304.821746826172,11279.397831615,0.743618488311768,2012,1,2,13
2012-01-02 14:00:00,0.587536096572876,305.179473876953,11337.2523926911,0.742369472980499,2012,1,2,14
2012-01-02 14:30:00,0.586863338947296,305.479125976562,11385.8841000448,0.74118834733963,2012,1,2,14
2012-01-02 15:00:00,0.588882267475128,305.959259033203,11464.1303745727,0.739964485168457,2012,1,2,15
2012-01-02 15:30:00,0.595468819141388,306.017608642578,11473.6671375542,0.738659620285034,2012,1,2,15
2012-01-02 16:00:00,0.605782747268677,306.163696289062,11497.5685963303,0.737228393554688,2012,1,2,16
2012-01-02 16:30:00,0.618830978870392,306.175628662109,11499.5227350674,0.735657334327698,2012,1,2,16
2012-01-02 17:00:00,0.64163863658905,305.757354736328,11431.1782059017,0.733940243721008,2012,1,2,17
2012-01-02 17:30:00,0.651163697242737,305.071258544922,11319.7286600128,0.73225474357605,2012,1,2,17
2012-01-02 18:00:00,0.656557440757751,304.779388427734,11272.563208205,0.731079459190369,2012,1,2,18
2012-01-02 18:30:00,0.65708327293396,304.198699951172,11179.1617715559,0.730240881443024,2012,1,2,18
