"datetime","cica","tair","vpd","Fwsoil","year","month","doy","hour"
2012-01-01 07:00:00,0.658048510551453,298.944061279297,10359.9815713435,1,2012,1,1,7
2012-01-01 07:30:00,0.644653141498566,299.780792236328,10487.3195783927,1,2012,1,1,7
2012-01-01 08:00:00,0.629352569580078,300.533874511719,10602.9242869367,1,2012,1,1,8
2012-01-01 08:30:00,0.613959550857544,301.537963867188,10758.5379880656,1,2012,1,1,8
2012-01-01 09:00:00,0.592671751976013,302.040008544922,10836.9817263403,1,2012,1,1,9
2012-01-01 09:30:00,0.561872005462646,302.625732421875,10929.0385783894,1,2012,1,1,9
2012-01-01 10:00:00,0.529539346694946,302.960418701172,10981.9018384422,1,2012,1,1,10
2012-01-01 10:30:00,0.48087078332901,303.880859375,11128.2672084621,1,2012,1,1,10
2012-01-01 11:00:00,0.442848235368729,304.466583251953,11222.16133465,1,2012,1,1,11
2012-01-01 11:30:00,0.419100999832153,304.382904052734,11208.7116420555,1,2012,1,1,11
2012-01-01 12:00:00,0.398813366889954,305.554351806641,11398.1011016799,1,2012,1,1,12
2012-01-01 12:30:00,0.398070693016052,305.052307128906,11316.644996433,1,2012,1,1,12
2012-01-01 13:00:00,0.38311493396759,305.805358886719,11438.9905029621,1,2012,1,1,13
2012-01-01 13:30:00,0.376466691493988,305.638000488281,11411.7173618956,1,2012,1,1,13
2012-01-01 14:00:00,0.378000140190125,306.391082763672,11534.8300704621,1,2012,1,1,14
2012-01-01 14:30:00,0.388427764177322,306.809448242188,11603.6484594329,1,2012,1,1,14
2012-01-01 15:00:00,0.390890121459961,306.474761962891,11548.5690157317,1,2012,1,1,15
2012-01-01 15:30:00,0.38214236497879,307.227813720703,11672.7721566939,1,2012,1,1,15
2012-01-01 16:00:00,0.387578368186951,307.562530517578,11728.2967317115,1,2012,1,1,16
2012-01-01 16:30:00,0.400309205055237,307.478851318359,11714.3979197097,1,2012,1,1,16
2012-01-01 17:00:00,0.4420046210289,307.646209716797,11742.2095935142,1,2012,1,1,17
2012-01-01 17:30:00,0.541549444198608,303.546142578125,11074.8749772688,1,2012,1,1,17
2012-01-01 18:00:00,0.546462953090668,301.956329345703,10823.8772999635,1,2012,1,1,18
2012-01-01 18:30:00,0.560424268245697,301.789001464844,10797.7099884783,1,2012,1,1,18
2012-01-02 07:00:00,0.717950403690338,297.856292724609,10196.1710939418,1,2012,1,2,7
2012-01-02 07:30:00,0.682821929454803,298.442016601562,10284.1341010082,1,2012,1,2,7
2012-01-02 08:00:00,0.656445026397705,299.278747558594,10410.7754469401,1,2012,1,2,8
2012-01-02 08:30:00,0.636726319789886,299.948150634766,10512.9281293883,1,2012,1,2,8
2012-01-02 09:00:00,0.612915396690369,300.617553710938,10615.8285607155,1,2012,1,2,9
2012-01-02 09:30:00,0.58257794380188,301.37060546875,10732.484110768,1,2012,1,2,9
2012-01-02 10:00:00,0.552845239639282,302.040008544922,10836.9818761941,1,2012,1,2,10
2012-01-02 10:30:00,0.5055832862854,302.709411621094,10942.2393484432,1,2012,1,2,10
2012-01-02 11:00:00,0.474004030227661,302.960418701172,10981.9020650833,1,2012,1,2,11
2012-01-02 11:30:00,0.433633267879486,303.880859375,11128.2676157775,1,2012,1,2,11
2012-01-02 12:00:00,0.408634543418884,304.466583251953,11222.1632169846,1,2012,1,2,12
2012-01-02 12:30:00,0.393969267606735,304.80126953125,11276.0796752875,1,2012,1,2,12
2012-01-02 13:00:00,0.383682906627655,305.554351806641,11398.1020040481,1,2012,1,2,13
2012-01-02 13:30:00,0.371958076953888,306.223724365234,11507.3864603649,1,2012,1,2,13
2012-01-02 14:00:00,0.375133752822876,306.474761962891,11548.5702236581,1,2012,1,2,14
2012-01-02 14:30:00,0.372923254966736,307.144165039062,11658.927002205,1,2012,1,2,14
2012-01-02 15:00:00,0.378525614738464,306.642120361328,11576.0857850426,1,2012,1,2,15
2012-01-02 15:30:00,0.381432175636292,306.809448242188,11603.6478753252,1,2012,1,2,15
2012-01-02 16:00:00,0.40062752366066,306.056396484375,11479.9929004777,1,2012,1,2,16
2012-01-02 16:30:00,0.416005223989487,306.558441162109,11562.3215797317,1,2012,1,2,16
2012-01-02 17:00:00,0.468954622745514,306.725769042969,11589.8586210342,1,2012,1,2,17
2012-01-02 17:30:00,0.533153355121613,307.227813720703,11672.7722926272,1,2012,1,2,17
2012-01-02 18:00:00,0.520081877708435,306.391082763672,11534.8289217582,1,2012,1,2,18
2012-01-02 18:30:00,0.540234863758087,305.135955810547,11330.1869632667,1,2012,1,2,18
2012-01-03 07:00:00,0.65726113319397,299.780792236328,10487.3187750025,1,2012,1,3,7
2012-01-03 07:30:00,0.659835338592529,300.031829833984,10525.7494431841,1,2012,1,3,7
2012-01-03 08:00:00,0.641806602478027,300.701232910156,10628.7426878978,1,2012,1,3,8
2012-01-03 08:30:00,0.624595046043396,300.952239990234,10667.5558245598,1,2012,1,3,8
2012-01-03 09:00:00,0.604839980602264,301.956329345703,10823.8762169147,1,2012,1,3,9
2012-01-03 09:30:00,0.576148271560669,302.458374023438,10902.6746885829,1,2012,1,3,9
2012-01-03 10:00:00,0.538868606090546,303.211456298828,11021.676087803,1,2012,1,3,10
2012-01-03 10:30:00,0.479483008384705,304.299224853516,11195.2728675909,1,2012,1,3,10
2012-01-03 11:00:00,0.448717713356018,304.382904052734,11208.71043953,1,2012,1,3,11
2012-01-03 11:30:00,0.412168562412262,305.470672607422,11384.4929227095,1,2012,1,3,11
2012-01-03 12:00:00,0.396097183227539,305.638000488281,11411.7150359598,1,2012,1,3,12
2012-01-03 12:30:00,0.382612705230713,306.223724365234,11507.3830733093,1,2012,1,3,12
2012-01-03 13:00:00,0.37519571185112,306.642120361328,11576.0876788318,1,2012,1,3,13
2012-01-03 13:30:00,0.375084817409515,306.223724365234,11507.3847011376,1,2012,1,3,13
2012-01-03 14:00:00,0.373100399971008,306.642120361328,11576.0887739243,1,2012,1,3,14
2012-01-03 14:30:00,0.381106019020081,306.725769042969,11589.8612410694,1,2012,1,3,14
2012-01-03 15:00:00,0.406076610088348,306.725769042969,11589.8620482616,1,2012,1,3,15
2012-01-03 15:30:00,0.441992402076721,307.813537597656,11770.0676649318,1,2012,1,3,15
2012-01-03 16:00:00,0.462173342704773,307.311492919922,11686.6384668491,1,2012,1,3,16
2012-01-03 16:30:00,0.47212678194046,307.060485839844,11645.0919293192,1,2012,1,3,16
2012-01-03 17:00:00,0.491481155157089,307.227813720703,11672.773525012,1,2012,1,3,17
2012-01-03 17:30:00,0.507458388805389,307.144165039062,11658.9280683016,1,2012,1,3,17
2012-01-03 18:00:00,0.514045476913452,306.809448242188,11603.6486592674,1,2012,1,3,18
2012-01-03 18:30:00,0.527933657169342,305.889038085938,11452.6450775693,1,2012,1,3,18
2012-01-04 07:00:00,0.659561216831207,299.613464355469,10461.7611380077,1,2012,1,4,7
2012-01-04 07:30:00,0.66401594877243,300.031829833984,10525.7493200768,1,2012,1,4,7
2012-01-04 08:00:00,0.644720911979675,300.282867431641,10564.2857087467,1,2012,1,4,8
2012-01-04 08:30:00,0.630604267120361,300.617553710938,10615.8260426598,1,2012,1,4,8
2012-01-04 09:00:00,0.610974907875061,301.203277587891,10706.4778323954,1,2012,1,4,9
2012-01-04 09:30:00,0.581942498683929,301.956329345703,10823.8744506944,1,2012,1,4,9
2012-01-04 10:00:00,0.541152060031891,302.625732421875,10929.0370000035,1,2012,1,4,10
2012-01-04 10:30:00,0.49931925535202,303.044097900391,10995.146564256,1,2012,1,4,10
2012-01-04 11:00:00,0.453464955091476,303.964538574219,11141.6453242933,1,2012,1,4,11
2012-01-04 11:30:00,0.434054493904114,303.629821777344,11088.2038091498,1,2012,1,4,11
2012-01-04 12:00:00,0.411964893341064,304.299224853516,11195.2728575891,1,2012,1,4,12
2012-01-04 12:30:00,0.388957738876343,305.638000488281,11411.7148795481,1,2012,1,4,12
2012-01-04 13:00:00,0.386581271886826,305.303314208984,11357.3158796767,1,2012,1,4,13
2012-01-04 13:30:00,0.377262502908707,306.391082763672,11534.8277417602,1,2012,1,4,13
2012-01-04 14:00:00,0.370498836040497,307.311492919922,11686.6354719608,1,2012,1,4,14
2012-01-04 14:30:00,0.370482712984085,307.060485839844,11645.0906614409,1,2012,1,4,14
2012-01-04 15:00:00,0.377364546060562,306.307403564453,11521.1033108097,1,2012,1,4,15
2012-01-04 15:30:00,0.377824753522873,306.725769042969,11589.8625122939,1,2012,1,4,15
2012-01-04 16:00:00,0.395914018154144,306.642120361328,11576.0902803373,1,2012,1,4,16
2012-01-04 16:30:00,0.42438805103302,306.809448242188,11603.6513473813,1,2012,1,4,16
