"datetime","cica","tair","vpd","Fwsoil","year","month","doy","hour"
2008-01-04 15:00:00,0.745007276535034,307.256103515625,11677.4697876155,1,2008,1,4,15
2008-01-04 16:00:00,0.756874561309814,307.435577392578,11707.2260348424,1,2008,1,4,16
2008-01-04 17:00:00,0.759999513626099,307.343353271484,11691.9285662365,1,2008,1,4,17
2008-01-04 18:00:00,0.752473413944244,306.495819091797,11552.0400164923,1,2008,1,4,18
2008-01-05 06:00:00,0.869656562805176,297.185302734375,10096.1092042821,1,2008,1,5,6
2008-01-05 07:00:00,0.849781036376953,299.548431396484,10451.8518510626,1,2008,1,5,7
2008-01-05 08:00:00,0.813116431236267,301.565093994141,10762.7773827871,1,2008,1,5,8
2008-01-05 09:00:00,0.794411838054657,303.412231445312,11053.5788224828,1,2008,1,5,9
2008-01-05 10:00:00,0.770463585853577,305.234466552734,11346.1617872429,1,2008,1,5,10
2008-01-05 11:00:00,0.76415354013443,306.293884277344,11518.8953691357,1,2008,1,5,11
2008-01-05 12:00:00,0.776737570762634,304.117706298828,11166.1749187395,0.999846696853638,2008,1,5,12
2008-01-05 13:00:00,0.779115200042725,302.435089111328,10899.0214442429,0.993950605392456,2008,1,5,13
2008-01-05 14:00:00,0.790025591850281,299.062347412109,10377.9220663234,0.985703229904175,2008,1,5,14
2008-01-05 15:00:00,0.79851907491684,298.50146484375,10293.1043044679,0.978224158287048,2008,1,5,15
2008-01-05 16:00:00,0.801710486412048,299.177032470703,10395.32917354,0.972839593887329,2008,1,5,16
2008-01-05 17:00:00,0.801736235618591,298.693420410156,10322.0738818812,0.969683647155762,2008,1,5,17
2008-01-05 18:00:00,0.795050501823425,298.591217041016,10306.6411194406,0.967804670333862,2008,1,5,18
2008-01-06 06:00:00,0.912838697433472,289.258270263672,8968.73328017398,0.985247611999512,2008,1,6,6
2008-01-06 07:00:00,0.891336679458618,289.891448974609,9055.13058109352,0.986246764659882,2008,1,6,7
2008-01-06 08:00:00,0.871942162513733,290.0185546875,9072.55001193693,0.986323058605194,2008,1,6,8
2008-01-06 09:00:00,0.846499085426331,290.544555664062,9144.90331672724,0.985262334346771,2008,1,6,9
2008-01-06 10:00:00,0.834386348724365,290.654235839844,9160.04442826391,0.981553137302399,2008,1,6,10
2008-01-06 11:00:00,0.834313154220581,290.439849853516,9130.46567879554,0.976596415042877,2008,1,6,11
2008-01-06 12:00:00,0.823440611362457,290.674163818359,9162.79760055929,0.972066581249237,2008,1,6,12
2008-01-06 13:00:00,0.818582057952881,290.462280273438,9133.55861628675,0.966025173664093,2008,1,6,13
2008-01-06 14:00:00,0.818124175071716,290.337646484375,9116.39286719089,0.959568440914154,2008,1,6,14
2008-01-06 15:00:00,0.820486664772034,290.210510253906,9098.90754271056,0.953397035598755,2008,1,6,15
2008-01-06 16:00:00,0.828865647315979,289.883941650391,9054.10670169512,0.947803378105164,2008,1,6,16
2008-01-06 17:00:00,0.84043824672699,289.415313720703,8990.10730187849,0.943556845188141,2008,1,6,17
2008-01-06 18:00:00,0.853983879089355,289.011474609375,8935.23097464001,0.941705107688904,2008,1,6,18
2008-01-06 19:00:00,0.869071125984192,288.066711425781,8807.83249199822,0.941420793533325,2008,1,6,19
2008-01-07 06:00:00,0.936890602111816,284.240325927734,8305.79665463722,0.957603394985199,2008,1,7,6
2008-01-07 07:00:00,0.885655283927917,287.555694580078,8739.49662452233,0.958774983882904,2008,1,7,7
2008-01-07 08:00:00,0.856210470199585,288.358367919922,8847.01510252785,0.958742320537567,2008,1,7,8
2008-01-07 09:00:00,0.841222286224365,288.757232666016,8900.81198714106,0.956567347049713,2008,1,7,9
2008-01-07 10:00:00,0.829604864120483,289.166046142578,8956.20582939393,0.952874183654785,2008,1,7,10
2008-01-07 11:00:00,0.82096254825592,289.522491455078,9004.71502901744,0.947906196117401,2008,1,7,11
2008-01-07 12:00:00,0.816189050674438,289.592315673828,9014.24053253684,0.942019641399384,2008,1,7,12
2008-01-07 13:00:00,0.814667582511902,289.654632568359,9022.7481230109,0.935678780078888,2008,1,7,13
2008-01-07 14:00:00,0.81538188457489,289.694519042969,9028.19661537679,0.929356396198273,2008,1,7,14
2008-01-07 15:00:00,0.820022106170654,289.714447021484,9030.91954655229,0.923353433609009,2008,1,7,15
2008-01-07 16:00:00,0.826945841312408,289.731903076172,9033.30545864848,0.91813725233078,2008,1,7,16
2008-01-07 17:00:00,0.838554501533508,289.569854736328,9011.17458542575,0.914102911949158,2008,1,7,17
2008-01-07 18:00:00,0.855022311210632,289.143615722656,8953.15812817471,0.911723971366882,2008,1,7,18
2008-01-07 19:00:00,0.870415091514587,288.575256347656,8876.23558637093,0.911561787128448,2008,1,7,19
2008-01-08 06:00:00,0.885112702846527,288.901794433594,8920.36850466781,0.927186787128448,2008,1,8,6
2008-01-08 07:00:00,0.874282836914062,289.323089599609,8977.55195103571,0.928129434585571,2008,1,8,7
2008-01-08 08:00:00,0.864444613456726,289.589813232422,9013.89730489557,0.928520917892456,2008,1,8,8
2008-01-08 09:00:00,0.844833135604858,290.026031494141,9073.5780972649,0.928061425685883,2008,1,8,9
2008-01-08 10:00:00,0.827448487281799,290.788848876953,9178.65464727727,0.925675332546234,2008,1,8,10
2008-01-08 11:00:00,0.819253206253052,290.891052246094,9192.80190450041,0.921419978141785,2008,1,8,11
2008-01-08 12:00:00,0.818487048149109,290.694122314453,9165.55619319157,0.916378498077393,2008,1,8,12
2008-01-08 13:00:00,0.814257144927979,290.893524169922,9193.14446005878,0.911445319652557,2008,1,8,13
2008-01-08 14:00:00,0.811794519424438,291.140319824219,9227.37561453562,0.906097054481506,2008,1,8,14
2008-01-08 15:00:00,0.815815508365631,290.886047363281,9192.1086793815,0.90041047334671,2008,1,8,15
2008-01-08 16:00:00,0.829408407211304,290.337646484375,9116.39074298423,0.895471453666687,2008,1,8,16
2008-01-08 17:00:00,0.8343665599823,289.986175537109,9068.11211234192,0.892588138580322,2008,1,8,17
2008-01-08 18:00:00,0.840574383735657,289.577331542969,9012.19405882098,0.891278207302094,2008,1,8,18
2008-01-09 06:00:00,0.950548768043518,284.262756347656,8308.67413178917,0.906750082969666,2008,1,9,6
2008-01-09 07:00:00,0.88225781917572,287.770080566406,8768.1140343905,0.908557236194611,2008,1,9,7
2008-01-09 08:00:00,0.854180634021759,289.736877441406,9033.98414839838,0.908180415630341,2008,1,9,8
2008-01-09 09:00:00,0.833345115184784,290.584411621094,9150.40388039683,0.906104922294617,2008,1,9,9
2008-01-09 10:00:00,0.819776296615601,291.574066162109,9287.76798224919,0.902277290821075,2008,1,9,10
2008-01-09 11:00:00,0.809597134590149,292.022766113281,9350.55513457276,0.897164404392242,2008,1,9,11
2008-01-09 12:00:00,0.802165389060974,292.329376220703,9393.64280230877,0.891133546829224,2008,1,9,12
2008-01-09 13:00:00,0.800029873847961,292.087554931641,9359.647324007,0.884527504444122,2008,1,9,13
2008-01-09 14:00:00,0.801870107650757,291.972900390625,9343.56121029279,0.877846479415894,2008,1,9,14
2008-01-09 15:00:00,0.807132661342621,292.0078125,9348.45678726343,0.871526837348938,2008,1,9,15
2008-01-09 16:00:00,0.816694378852844,291.977874755859,9344.25796236499,0.866013944149017,2008,1,9,16
2008-01-09 17:00:00,0.828794896602631,292.294464111328,9388.72781999621,0.861800372600555,2008,1,9,17
2008-01-09 18:00:00,0.850257217884064,291.833312988281,9324.00396735067,0.859245002269745,2008,1,9,18
2008-01-09 19:00:00,0.879552662372589,291.170227050781,9231.52620954731,0.858839273452759,2008,1,9,19
2008-01-10 06:00:00,0.941533327102661,288.884368896484,8918.00466996547,0.873828947544098,2008,1,10,6
2008-01-10 07:00:00,0.875146627426147,292.508850097656,9418.92917008072,0.876430451869965,2008,1,10,7
2008-01-10 08:00:00,0.833909034729004,296.170745849609,9946.1887600491,0.878221213817596,2008,1,10,8
2008-01-10 09:00:00,0.791723847389221,300.764923095703,10638.5905584137,0.875330686569214,2008,1,10,9
2008-01-10 10:00:00,0.749206900596619,304.294677734375,11194.557549292,0.869542717933655,2008,1,10,10
2008-01-10 11:00:00,0.696690559387207,306.894653320312,11617.7192478112,0.861032903194427,2008,1,10,11
2008-01-10 12:00:00,0.644934415817261,307.802032470703,11768.1655929611,0.851572275161743,2008,1,10,12
2008-01-10 13:00:00,0.655171036720276,306.318817138672,11522.9880702306,0.844250082969666,2008,1,10,13
2008-01-10 14:00:00,0.691450893878937,304.636199951172,11249.4779712864,0.836664855480194,2008,1,10,14
2008-01-10 15:00:00,0.71139132976532,304.99267578125,11307.0166317116,0.827266812324524,2008,1,10,15
2008-01-10 16:00:00,0.718540787696838,305.147216796875,11332.0289222267,0.817709565162659,2008,1,10,16
2008-01-10 17:00:00,0.725561678409576,303.836029052734,11121.124288979,0.809117913246155,2008,1,10,17
2008-01-10 18:00:00,0.730482339859009,301.255981445312,10714.6822836324,0.802702248096466,2008,1,10,18
2008-01-11 06:00:00,0.820038437843323,298.481536865234,10290.1042333935,0.811937391757965,2008,1,11,6
2008-01-11 07:00:00,0.822856545448303,298.022857666016,10221.1430572882,0.812217831611633,2008,1,11,7
2008-01-11 08:00:00,0.828773498535156,294.193969726562,9658.8898258463,0.811349093914032,2008,1,11,8
2008-01-11 09:00:00,0.832366347312927,291.504272460938,9278.02742143909,0.810319185256958,2008,1,11,9
2008-01-11 10:00:00,0.813613593578339,291.591522216797,9290.20317021364,0.808659732341766,2008,1,11,10
2008-01-11 11:00:00,0.791614592075348,291.641357421875,9297.16442897559,0.804827928543091,2008,1,11,11
2008-01-11 12:00:00,0.786902666091919,291.112884521484,9223.56454783187,0.798998832702637,2008,1,11,12
2008-01-11 13:00:00,0.78451144695282,290.828704833984,9184.16918736986,0.792877495288849,2008,1,11,13
2008-01-11 14:00:00,0.782839834690094,290.846160888672,9186.5860556787,0.786531031131744,2008,1,11,14
2008-01-11 15:00:00,0.785751342773438,290.851165771484,9187.2791224935,0.780278027057648,2008,1,11,15
2008-01-11 16:00:00,0.792201399803162,290.624298095703,9155.91189773862,0.774629831314087,2008,1,11,16
2008-01-11 17:00:00,0.805817544460297,289.988647460938,9068.45287048751,0.770074963569641,2008,1,11,17
2008-01-11 18:00:00,0.821099579334259,289.328063964844,8978.23005990148,0.767641305923462,2008,1,11,18
2008-01-11 19:00:00,0.833843350410461,288.734802246094,8897.77929065419,0.767179608345032,2008,1,11,19
2008-01-12 06:00:00,0.925764322280884,282.281005859375,8057.2461882317,0.779473960399628,2008,1,12,6
2008-01-12 07:00:00,0.866315960884094,286.182189941406,8557.80109315224,0.780335783958435,2008,1,12,7
2008-01-12 08:00:00,0.828355729579926,288.226257324219,8829.25065833982,0.779938995838165,2008,1,12,8
2008-01-12 09:00:00,0.807168364524841,289.308135986328,8975.51997340274,0.777672588825226,2008,1,12,9
2008-01-12 10:00:00,0.792124092578888,290.449829101562,9131.84452972856,0.773827195167542,2008,1,12,10
2008-01-12 11:00:00,0.784725546836853,290.265350341797,9106.44658103116,0.768666565418243,2008,1,12,11
2008-01-12 12:00:00,0.777524948120117,290.457305908203,9132.87418360596,0.762768089771271,2008,1,12,12
2008-01-12 13:00:00,0.774607837200165,290.452301025391,9132.18437446925,0.756347358226776,2008,1,12,13
2008-01-12 14:00:00,0.77396696805954,290.731506347656,9170.72484767845,0.749835610389709,2008,1,12,14
2008-01-12 15:00:00,0.776020050048828,290.621826171875,9155.57128055736,0.743567109107971,2008,1,12,15
2008-01-12 16:00:00,0.788445949554443,290.148193359375,9090.34507859514,0.737878978252411,2008,1,12,16
2008-01-12 17:00:00,0.803955078125,289.854034423828,9050.011342141,0.733639061450958,2008,1,12,17
2008-01-12 18:00:00,0.816955327987671,289.692016601562,9027.85454192919,0.731176733970642,2008,1,12,18
2008-01-12 19:00:00,0.839857697486877,288.861907958984,8914.96921085081,0.730452418327332,2008,1,12,19
2008-01-13 06:00:00,0.892259418964386,287.513336181641,8733.84818802912,0.757849872112274,2008,1,13,6
2008-01-13 07:00:00,0.857918858528137,288.595184326172,8878.92493521602,0.766084969043732,2008,1,13,7
2008-01-13 08:00:00,0.826689124107361,289.350494384766,8981.28262159423,0.766422629356384,2008,1,13,8
2008-01-13 09:00:00,0.80827796459198,289.392883300781,8987.05389199167,0.764942824840546,2008,1,13,9
2008-01-13 10:00:00,0.789947092533112,289.948760986328,9062.98712126053,0.76147723197937,2008,1,13,10
2008-01-13 11:00:00,0.784060597419739,289.913879394531,9058.20743467122,0.756267964839935,2008,1,13,11
2008-01-13 12:00:00,0.777576208114624,289.87646484375,9053.08396637039,0.750629782676697,2008,1,13,12
2008-01-13 13:00:00,0.777993381023407,289.589813232422,9013.89972140657,0.744442105293274,2008,1,13,13
2008-01-13 14:00:00,0.7824347615242,289.410339355469,8989.43082595239,0.738539695739746,2008,1,13,14
2008-01-13 15:00:00,0.781890034675598,289.432769775391,8992.48673311275,0.733462154865265,2008,1,13,15
2008-01-13 16:00:00,0.790797233581543,289.013977050781,8935.57041552338,0.728311240673065,2008,1,13,16
2008-01-13 17:00:00,0.800921559333801,288.306030273438,8839.97450159318,0.724461317062378,2008,1,13,17
2008-01-13 18:00:00,0.816818237304688,287.897216796875,8785.12313487657,0.722375571727753,2008,1,13,18
2008-01-13 19:00:00,0.823920547962189,287.139404296875,8684.12446577545,0.721742987632751,2008,1,13,19
